transaction_id,student_number,student_name,department_code,department_name,loan_date,book_isbn,book_title,book_author,book_category
TX000001,ST00013,Mahasiswa_013,TI,Teknik Informatika,2026-01-15,978-1004,Basis Data Dasar,D. Sari,Database
TX000001,ST00013,Mahasiswa_013,TI,Teknik Informatika,2026-01-15,978-1010,Sistem Informasi Manajemen,J. Utami,IS
TX000001,ST00013,Mahasiswa_013,TI,Teknik Informatika,2026-01-15,978-1003,Python untuk Data,C. Putra,Programming
TX000002,ST00347,Mahasiswa_347,TI,Teknik Informatika,2026-01-15,978-1010,Sistem Informasi Manajemen,J. Utami,IS
TX000003,ST00017,Mahasiswa_017,TE,Teknik Elektro,2025-01-16,978-1004,Basis Data Dasar,D. Sari,Database
TX000004,ST00259,Mahasiswa_259,SI,Sistem Informasi,2025-11-05,978-1009,Algoritma dan Struktur Data,I. Wibowo,CS
TX000005,ST00367,Mahasiswa_367,SI,Sistem Informasi,2025-11-29,978-1004,Basis Data Dasar,D. Sari,Database
TX000005,ST00367,Mahasiswa_367,SI,Sistem Informasi,2025-11-29,978-1008,Pemrograman Web,H. Pratama,Web
TX000005,ST00367,Mahasiswa_367,SI,Sistem Informasi,2025-11-29,978-1005,SQL Lanjutan,E. Nugroho,Database
TX000005,ST00367,Mahasiswa_367,SI,Sistem Informasi,2025-11-29,978-1007,Data Mining Konsep,G. Hidayat,Data Mining
TX000006,ST00389,Mahasiswa_389,TI,Teknik Informatika,2026-02-17,978-1007,Data Mining Konsep,G. Hidayat,Data Mining
TX000006,ST00389,Mahasiswa_389,TI,Teknik Informatika,2026-02-17,978-1006,Statistika Terapan,F. Lestari,Math
TX000007,ST00080,Mahasiswa_080,MI,Manajemen Informatika,2025-04-21,978-1002,Machine Learning Praktis,B. Santoso,AI
TX000007,ST00080,Mahasiswa_080,MI,Manajemen Informatika,2025-04-21,978-1010,Sistem Informasi Manajemen,J. Utami,IS
TX000007,ST00080,Mahasiswa_080,MI,Manajemen Informatika,2025-04-21,978-1007,Data Mining Konsep,G. Hidayat,Data Mining
TX000008,ST00184,Mahasiswa_184,TI,Teknik Informatika,2026-03-10,978-1010,Sistem Informasi Manajemen,J. Utami,IS
TX000008,ST00184,Mahasiswa_184,TI,Teknik Informatika,2026-03-10,978-1005,SQL Lanjutan,E. Nugroho,Database
TX000008,ST00184,Mahasiswa_184,TI,Teknik Informatika,2026-03-10,978-1001,AI Dasar,A. Wijaya,AI
TX000009,ST00275,Mahasiswa_275,TE,Teknik Elektro,2025-03-05,978-1002,Machine Learning Praktis,B. Santoso,AI
TX000009,ST00275,Mahasiswa_275,TE,Teknik Elektro,2025-03-05,978-1009,Algoritma dan Struktur Data,I. Wibowo,CS
TX000009,ST00275,Mahasiswa_275,TE,Teknik Elektro,2025-03-05,978-1005,SQL Lanjutan,E. Nugroho,Database
TX000009,ST00275,Mahasiswa_275,TE,Teknik Elektro,2025-03-05,978-1007,Data Mining Konsep,G. Hidayat,Data Mining
TX000010,ST00296,Mahasiswa_296,MI,Manajemen Informatika,2025-04-09,978-1001,AI Dasar,A. Wijaya,AI
TX000011,ST00396,Mahasiswa_396,SI,Sistem Informasi,2025-05-29,978-1004,Basis Data Dasar,D. Sari,Database
TX000012,ST00195,Mahasiswa_195,TI,Teknik Informatika,2025-05-23,978-1006,Statistika Terapan,F. Lestari,Math
TX000012,ST00195,Mahasiswa_195,TI,Teknik Informatika,2025-05-23,978-1003,Python untuk Data,C. Putra,Programming
TX000012,ST00195,Mahasiswa_195,TI,Teknik Informatika,2025-05-23,978-1010,Sistem Informasi Manajemen,J. Utami,IS
TX000012,ST00195,Mahasiswa_195,TI,Teknik Informatika,2025-05-23,978-1009,Algoritma dan Struktur Data,I. Wibowo,CS
TX000013,ST00344,Mahasiswa_344,SI,Sistem Informasi,2025-05-17,978-1010,Sistem Informasi Manajemen,J. Utami,IS
TX000014,ST00274,Mahasiswa_274,SI,Sistem Informasi,2026-01-09,978-1003,Python untuk Data,C. Putra,Programming
